Latitude,Longitude,Crime_Type
12.94146,77.525317,Other Roads
12.936811,77.572877,Other Roads
12.93967,77.579951,Other - Related
12.943194,77.553883,Public Safety
12.939336,77.58153,Other Roads
12.941775,77.556926,Other Roads
12.942718,77.563223,Public Safety
12.93882,77.57385,Other Roads
12.957779,77.56632,Other Roads
12.944847,77.57199,Public Safety
12.958713,77.566234,Public Safety
12.948463,77.57229,Other Roads
12.9459,77.562253,Other Roads
12.945782,77.568752,Human - Related
12.943667,77.57955,Other Roads
12.943631,77.568758,Other Roads
12.956375,77.56143,Other Roads
12.9459,77.562253,Other Roads
12.9417,77.584,Public Safety
12.944798,77.57565,Other Roads
12.94724,77.5823,Other Roads
12.944393,77.579659,Other Roads
12.938333,77.556973,Other Roads
12.94657,77.57379,Public Safety
12.932857,77.546942,Other Roads
12.944611,77.569453,Other Roads
12.9326,77.553489,Public Safety
12.94654,77.57176,Public Safety
12.936658,77.5748,Other Roads
12.93614,77.571732,Other Roads
12.944465,77.579427,Public Safety
12.944956,77.567814,Other Roads
12.948254,77.571241,Other Roads
12.946948,77.573314,Other Roads
12.946282,77.552291,Other Roads
12.951246,77.549543,Other Roads
12.941511,77.5891,Other Roads
12.935692,77.566773,Other Roads
12.942314,77.578624,Other Roads
12.94987,77.567928,Other Roads
12.944124,77.5792,Other Roads
12.95198,77.573881,Other Roads
12.947799,77.5814,Other Roads
12.934197,77.558996,Other Roads
12.947293,77.58216,Other Roads
17.982034,77.2539819,THEFT
17.943344,77.307467,KARNATAKA POLICE ACT 1963
17.92757,77.287703,CHEATING
17.92932,77.261561,CASES OF HURT
17.911207,77.36862,MOTOR VEHICLE ACCIDENTS NON-FATAL
17.953904,77.389483,MOTOR VEHICLE ACCIDENTS NON-FATAL
17.95291,77.385966,MOTOR VEHICLE ACCIDENTS FATAL
17.930921,77.344258,CASES OF HURT
17.990914,77.354991,MURDER
17.943342,77.30748,RIOTS
17.943341,77.307464,CASES OF HURT
18.034934,77.374271,BURGLARY - NIGHT
18.005046,77.289662,CASES OF HURT
17.89052,77.296117,MOTOR VEHICLE ACCIDENTS NON-FATAL
18.002644,77.28946,Karnataka State Local Act
17.966949,77.366909,MOTOR VEHICLE ACCIDENTS NON-FATAL
17.979787,77.244363,MOTOR VEHICLE ACCIDENTS NON-FATAL
18.115163,77.323965,CASES OF HURT
18.115333,77.323839,CASES OF HURT
17.967447,77.3620639,Karnataka State Local Act
18.018459,77.3166839,MOTOR VEHICLE ACCIDENTS NON-FATAL
17.990912,77.328706,MOTOR VEHICLE ACCIDENTS FATAL
17.917642,77.275173,DEATHS DUE TO RASHNESS/NEGLIGENCE
17.948166,77.38685,MOTOR VEHICLE ACCIDENTS FATAL
17.888785,77.346015,MOLESTATION
17.888718,77.346019,CASES OF HURT
18.046369,77.295399,MISSING PERSON
17.952488,77.287445,SCHEDULED CASTE AND THE SCHEDULED TRIBES 
17.928897,77.2471919,CASES OF HURT
17.928947,77.247108,RIOTS
18.112435,77.319748,MOTOR VEHICLE ACCIDENTS NON-FATAL
17.941176,77.306661,MISSING PERSON
17.968073,77.363142,CASES OF HURT
17.952874,77.3860809,CHEATING
17.886233,77.362738,CHEATING
17.928632,77.246475,ATTEMPT TO MURDER
17.900931,77.359615,Karnataka State Local Act
18.103776,77.35267,KARNATAKA POLICE ACT 1963
18.010346,77.2745489,RIOTS
17.906815,77.3307439,POCSO
18.002259,77.28993,MOTOR VEHICLE ACCIDENTS NON-FATAL
17.986972,77.344645,MOTOR VEHICLE ACCIDENTS NON-FATAL
17.922346,77.287032,CASES OF HURT
17.907262,77.309376,MOTOR VEHICLE ACCIDENTS NON-FATAL
17.957153,77.291374,KARNATAKA POLICE ACT 1963
17.891173,77.323768,CRIMINAL TRESPASS
17.890917,77.3272989,RAPE
17.9997,77.323242,CASES OF HURT
17.943745,77.304813,KARNATAKA POLICE ACT 1963
17.901282,77.363568,MOTOR VEHICLE ACCIDENTS NON-FATAL
17.908032,77.365787,MOTOR VEHICLE ACCIDENTS NON-FATAL
18.002858,77.320707,SUICIDE
17.99421,77.324748,MOTOR VEHICLE ACCIDENTS NON-FATAL
18.045022,77.295342,BURGLARY - NIGHT
17.99221,77.327558,CASES OF HURT
17.992184,77.327549,CASES OF HURT
18.077995,77.34,MOTOR VEHICLE ACCIDENTS NON-FATAL
17.993136,77.306057,MOTOR VEHICLE ACCIDENTS FATAL
18.022112,77.376983,CASES OF HURT
17.993903,77.326168,CASES OF HURT
17.99387,77.326192,CASES OF HURT
17.947535,77.3785579,THEFT
17.891608,77.32393,KARNATAKA POLICE ACT 1963
18.020604,77.349582,ROBBERY
17.999744,77.3229019,Karnataka State Local Act
17.891792,77.330902,KARNATAKA POLICE ACT 1963
17.935953,77.37846,BURGLARY - NIGHT
17.891004,77.346378,MISSING PERSON
0,,
18.083912,,
17.988366,,
17.952052,,
